day,susceptible,infected,recovered,deceased
0.0,999900.0,100.0,0.0,0.0
1.0062893081761006,999866.3890049459,123.52651861453643,8.963979057637523,1.1204973822046904
2.0125786163522013,999824.8723075473,152.5862838230951,20.03680767103939,2.504600958879924
3.018867924528302,999773.5914935218,188.47976435092025,33.71443744663052,4.214304680828815
4.0251572327044025,999710.251864819,232.81259918879627,50.609365326512915,6.326170665814114
5.031446540880503,999632.0203254662,287.5669559254623,71.47797209641996,8.934746512052495
6.037735849056604,999535.3995123794,355.1894533486829,97.25425268618724,12.156781585773405
7.044025157232705,999416.0727646776,438.69939923332413,129.09140985709791,16.13642623213724
8.050314465408805,999268.7132685309,541.8219559218436,168.41313381988954,21.051641727486192
9.056603773584905,999086.749311644,669.151801604071,216.97678822406596,27.122098528008245
10.062893081761006,998862.0758578691,826.354021206279,276.95121859975507,34.61890232496938
11.069182389937106,998584.7006027816,1020.4103330875697,351.0125014498011,43.87656268122514
12.075471698113208,998242.3103441611,1259.9202938545882,442.461655097307,55.30770688716338
13.081761006289309,997819.7407602736,1555.4688992239219,555.369191557886,69.42114894473575
14.08805031446541,997298.3297174153,1920.0738668759413,694.7523695190249,86.84404618987811
15.09433962264151,996655.1309548146,2369.7278551980417,866.7921688778185,108.34902110972732
16.10062893081761,995861.961736496,2924.0526687943957,1079.0983064086097,134.8872883010762
17.10691823899371,994884.2551171841,3607.083844101397,1341.0320344129175,167.62900430161469
18.11320754716981,993679.6853630332,4448.204413568904,1664.0979763536989,208.01224704421236
19.11949685534591,992196.53481212,5483.245213491009,2062.4177550125705,257.8022193765713
20.12578616352201,990371.7736189644,6755.7646376294,2553.299327472345,319.1624159340431
21.132075471698112,988128.832205843,8318.511447897927,3157.916752230332,394.7395940287915
22.138364779874212,985375.0635672072,10235.057382005307,3902.1147118112076,487.76433897640095
23.144654088050313,981998.9227972234,12581.558397723707,4817.350048935991,602.1687561169989
24.150943396226417,977866.9404826957,15448.559711739888,5941.777604946243,742.7222006182803
25.157232704402517,972820.6419686546,18942.694832685476,7321.4783988089175,915.1847998511147
26.163522012578618,966673.6751265903,23188.035861546738,9011.812454989451,1126.4765568736814
27.169811320754718,959209.5586081933,28326.72981243834,11078.854737216468,1384.8568421520586
28.17610062893082,950180.6628345883,34518.3963139509,13600.836312409627,1700.1045390512033
29.18238993710692,939309.2664689947,41937.58599080512,16669.46448017799,2083.683060022249
30.18867924528302,926291.7797624058,50768.42263734733,20390.93120021952,2548.86640002744
31.19496855345912,910807.4231912746,61195.43998739401,24886.343841183512,3110.792980147939
32.20125786163522,892532.6997499191,73389.66359676971,30291.23258072111,3786.4040725901386
